"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
3.939322057E0,9.816227108E-2,-8.319851160E-1,1.674863815E1
3.949334227E0,1.640028208E-1,-4.261679053E-1,1.595735455E1
3.959333312E0,2.334346622E-1,-9.576806799E-3,1.523789692E1
3.969345354E0,3.639186621E-1,5.207388401E-1,1.458787060E1
3.979348875E0,5.219359994E-1,1.063025594E0,1.426704788E1
3.989381136E0,5.494692922E-1,1.480813742E0,1.429098988E1
3.999313266E0,3.327940404E-1,1.940500498E0,1.446816063E1
4.009361331E0,1.795651205E-2,2.376245260E0,1.457111168E1
4.019394364E0,-1.233013868E-1,2.815581083E0,1.442386818E1
4.029371380E0,-1.089361757E-1,3.301604033E0,1.395699883E1
4.039400888E0,6.703764945E-2,3.798400879E0,1.325789165E1
4.049385642E0,3.711012602E-1,4.262876034E0,1.251329517E1
4.059390519E0,7.876923680E-1,4.747702122E0,1.176630402E1
4.069350458E0,1.329979062E0,5.518634796E0,1.091157436E1
4.079334927E0,1.602918029E0,5.829881191E0,1.090080070E1
4.089354162E0,1.686715126E0,5.955576897E0,1.107797146E1
4.099350279E0,1.514332533E0,5.859808445E0,1.133415127E1
4.109354838E0,1.250970364E0,5.714959621E0,1.136407852E1
4.119328117E0,1.104924083E0,5.504269600E0,1.111029339E1
