"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.055826387E0,-9.775161743E-4,1.822829247E-3,2.453994751E-2,2.462696222E-2
2.065897188E0,-2.110183239E-3,1.762062311E-3,2.140617371E-2,2.158198345E-2
2.075967989E0,1.243007183E-2,-1.564285159E-2,1.721191406E-2,2.637148986E-2
2.086038789E0,2.185410261E-2,4.990100861E-4,-1.749324799E-2,2.799758092E-2
2.096933565E0,4.915177822E-3,1.032072306E-2,-1.691055298E-2,2.041183724E-2
2.106180391E0,1.575493813E-2,2.454102039E-3,6.795883179E-3,1.733276436E-2
2.116251192E0,7.707178593E-3,8.729606867E-3,1.466751099E-2,1.872812101E-2
2.126321992E0,-1.107591391E-2,-1.585489511E-2,-2.592086792E-3,1.951339237E-2
2.136392793E0,-2.930760384E-4,-1.532641053E-2,-4.245758057E-3,1.590632625E-2
2.146799287E0,7.239282131E-3,-3.251403570E-3,8.625030518E-3,1.172049412E-2
2.156534395E0,5.847454071E-3,9.011119604E-3,-4.966735840E-3,1.183475646E-2
2.166605196E0,2.647978067E-2,-1.127600670E-3,-1.580524445E-2,3.085864579E-2
2.176675996E0,1.633399725E-2,4.116803408E-3,-3.124237061E-3,1.713208667E-2
2.186746797E0,-2.721905708E-3,5.144834518E-3,2.764511108E-2,2.825119926E-2
2.196817598E0,6.056666374E-3,-6.388041377E-2,6.896781921E-2,9.420164838E-2
2.206888399E0,-1.092553139E-3,-1.896202266E-1,7.591724396E-2,2.042558492E-1
2.216959200E0,-6.007152796E-2,-2.400139272E-1,1.029014587E-1,2.679626540E-1
2.227091035E0,-2.171939015E-1,-3.454127014E-1,5.322561264E-1,6.706561781E-1
2.237497530E0,-2.411949635E-1,-3.205943108E-1,4.960031509E-1,6.379458035E-1
2.247354707E0,-8.386874199E-2,-3.347913623E-1,9.008026123E-2,3.566982977E-1
2.257486543E0,-1.157950163E-1,-3.554477394E-1,2.978801727E-2,3.750185425E-1
2.267618379E0,-2.588910460E-1,-4.477503896E-1,3.256130219E-1,6.111700460E-1
2.277719698E0,-2.774606347E-1,-5.971422195E-1,4.507408142E-1,7.979539559E-1
2.287851533E0,-2.786255479E-1,-5.616170168E-1,3.552837372E-1,7.206055810E-1
2.298807344E0,-8.476924896E-2,-5.822498798E-1,-1.107606888E-1,5.987225387E-1
2.308115205E0,-2.350348234E-2,-6.189512014E-1,-3.610668182E-1,7.169534508E-1
2.318369112E0,-1.204988360E-1,-5.364130735E-1,-2.807531357E-1,6.173178097E-1
2.328531465E0,-2.333492041E-2,-5.295362473E-1,-4.027452469E-1,6.657003001E-1
2.338663301E0,7.407122850E-2,-4.870014787E-1,-8.377256393E-1,9.718236640E-1
2.348764619E0,1.612831950E-1,-3.689329624E-1,-1.222924232E0,1.287504360E0
2.358896455E0,2.027683258E-1,-1.784237325E-1,-1.274156570E0,1.302468805E0
2.369058809E0,2.347875834E-1,6.310462952E-3,-1.277395248E0,1.298808551E0
2.379160127E0,1.714122295E-1,3.156470358E-1,-1.389308929E0,1.434989375E0
2.389291963E0,6.791967154E-2,6.557515860E-1,-1.241163254E0,1.405385871E0
2.399423799E0,1.171485186E-1,9.052667022E-1,-9.695119858E-1,1.331609953E0
2.409555635E0,2.017592788E-1,1.002385020E0,-8.689165115E-1,1.341826531E0
2.419687471E0,2.870307565E-1,1.046499014E0,-6.258687973E-1,1.252700520E0
2.429788789E0,2.381243706E-1,1.081619978E0,-2.582645416E-2,1.107823090E0
2.439951143E0,1.306675673E-1,1.108062506E0,7.486209869E-1,1.343618217E0
2.450052461E0,1.043195128E-1,1.043927789E0,1.550487518E0,1.872078880E0
2.460184297E0,1.795343161E-1,1.109224796E0,1.853472710E0,2.167480866E0
2.470346651E0,3.135731220E-1,1.144585371E0,1.799802780E0,2.155851067E0
2.480478487E0,3.499819636E-1,1.101801038E0,1.839328766E0,2.172460175E0
2.490549287E0,3.203796744E-1,1.022829890E0,1.860751152E0,2.147374902E0
2.501657686E0,1.864627600E-1,8.319413066E-1,1.897669792E0,2.080395476E0
2.510812959E0,1.310703158E-1,6.231074333E-1,1.760353088E0,1.871973637E0
2.521005830E0,1.903482676E-1,5.936641097E-1,1.487590790E0,1.612946340E0
2.531229219E0,2.950868011E-1,6.988534331E-1,9.247875214E-1,1.196120521E0
2.541086397E0,3.922924995E-1,7.525098920E-1,4.808387756E-1,9.753822178E-1
2.551187715E0,3.549225628E-1,7.482534647E-1,2.229528427E-1,8.576486711E-1
2.559366426E0,3.549225628E-1,7.482534647E-1,2.229528427E-1,8.576486711E-1
2.569467744E0,3.077946603E-1,7.319847941E-1,7.233619690E-3,7.940979896E-1
2.579538545E0,2.905875146E-1,6.792354584E-1,-3.320693970E-1,8.099827134E-1
2.589578828E0,2.861080766E-1,5.894810557E-1,-7.925634384E-1,1.028349430E0
2.599680147E0,3.118682802E-1,5.432076454E-1,-1.230759621E0,1.380979947E0
2.609750948E0,2.436077893E-1,4.539459348E-1,-1.393980026E0,1.486133231E0
2.619791231E0,1.244040430E-1,3.282914162E-1,-1.283277512E0,1.330433310E0
2.629862032E0,-7.611930370E-3,1.345201135E-1,-1.145613670E0,1.153509551E0
2.639963350E0,-1.149753928E-1,-1.251269579E-1,-1.002124786E0,1.016430118E0
2.650034151E0,-1.990981102E-1,-3.194195032E-1,-8.292722702E-1,9.106927993E-1
2.660074434E0,-1.791568696E-1,-4.459044337E-1,-8.143596649E-1,9.455736945E-1
2.670145235E0,-1.760759950E-1,-5.924667120E-1,-7.091121674E-1,9.406697756E-1
2.680246553E0,-2.303726971E-1,-6.976959705E-1,-3.313674927E-1,8.060121972E-1
2.690317354E0,-2.932878733E-1,-7.600641251E-1,-1.212835312E-1,8.236655545E-1
2.701303682E0,-2.632596493E-1,-7.763978839E-1,-1.444396973E-1,8.324434775E-1
2.710458955E0,-2.892062068E-1,-8.228380084E-1,-8.696651459E-2,8.765077255E-1
2.720529756E0,-3.148483932E-1,-8.255004287E-1,-1.289844513E-2,8.835987994E-1
2.730570039E0,-3.332932591E-1,-8.280740976E-1,1.471614838E-2,8.927528621E-1
2.740671358E0,-4.205375910E-1,-8.588970304E-1,1.930122375E-1,9.756073483E-1
2.750742158E0,-5.216594338E-1,-9.199628830E-1,4.498395920E-1,1.149267562E0
2.760782442E0,-6.240420938E-1,-9.645085335E-1,4.695672989E-1,1.241047418E0
2.770853242E0,-6.049811840E-1,-8.930195570E-1,4.429264069E-1,1.166048869E0
2.780954561E0,-6.316764355E-1,-9.569747448E-1,4.449329376E-1,1.229951666E0
2.790964326E0,-5.822707415E-1,-9.250755906E-1,1.726226807E-1,1.106617664E0
2.801096162E0,-4.083832502E-1,-9.648339748E-1,-2.601337433E-1,1.079514262E0
2.811166963E0,-3.762442470E-1,-1.087166071E0,-1.907062531E-1,1.166129784E0
2.821237764E0,-5.465458035E-1,-1.070013881E0,1.437234879E-1,1.210082006E0
2.831308565E0,-4.519512653E-1,-1.051707745E0,2.950668335E-3,1.144708624E0
2.841379366E0,-3.310095668E-1,-1.051947951E0,-5.442237854E-2,1.104139312E0
2.851450166E0,-3.523672819E-1,-9.098410606E-1,-2.542400360E-2,9.760224572E-1
2.861490450E0,-1.872937679E-1,-7.759373784E-1,-1.495399475E-1,8.121083466E-1
2.871561250E0,-1.353399158E-1,-7.390838861E-1,2.611923218E-2,7.518271729E-1
2.881662569E0,-2.697013617E-1,-7.896588445E-1,1.780014038E-1,8.532200272E-1
2.891702852E0,-1.519288421E-1,-7.841641307E-1,-1.415348053E-1,8.111891629E-1
2.902719698E0,-5.312728882E-2,-7.551342845E-1,-2.600545883E-1,8.004240659E-1
2.911874971E0,-1.092212796E-1,-6.819366217E-1,-6.450176239E-2,6.936334199E-1
2.921915254E0,-9.863322973E-2,-5.787875056E-1,5.337810516E-2,5.895529771E-1
2.931986055E0,-4.270213842E-2,-4.559189379E-1,1.163959503E-1,4.724759971E-1
2.942087373E0,-1.118838787E-2,-3.805557489E-1,3.209781647E-2,3.820708415E-1
2.952158174E0,7.365876436E-2,-3.186934888E-1,-1.286716461E-1,3.514933085E-1
2.962228975E0,9.434646368E-2,-2.611943483E-1,-7.172489166E-2,2.868243415E-1
2.972269258E0,7.037436962E-2,-1.836341321E-1,1.134939194E-1,2.270570768E-1
2.982370576E0,1.091077328E-1,-1.075087115E-1,1.733579636E-1,2.313343985E-1
2.992441377E0,1.847381592E-1,-1.713512838E-2,5.358982086E-2,1.931156881E-1
3.002512178E0,2.410766482E-1,8.816219866E-2,-8.401870728E-4,2.566928700E-1
3.012552461E0,2.718042135E-1,1.662313491E-1,1.769924164E-2,3.190981903E-1
3.022653780E0,3.182932138E-1,2.359013855E-1,5.183124542E-2,3.995578953E-1
3.032694063E0,3.470221162E-1,2.963165045E-1,7.613754272E-2,4.626280854E-1
3.042795381E0,3.533909321E-1,3.593493402E-1,5.334758759E-2,5.068165983E-1
3.052835664E0,4.220291376E-1,4.376272857E-1,-3.696155548E-2,6.090914470E-1
